antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'OPTICAL AND SENSOR'}),frozenset({'DISCRETE'}),0.04911323328785812,0.4069382186708244,0.03956343792633015,0.8055555555555556,1.9795524691358024,0.019577386259004532,3.050032018264332,0.5203935232629637
"frozenset({'DISCRETE', 'CHIPSET / ASP'})",frozenset({'LINEAR IC'}),0.008575326447086338,0.5016565971545508,0.007600857532644709,0.8863636363636364,1.7668732782369145,0.0032989884477099525,4.385421945039953,0.4377825830548457
"frozenset({'LOGIC IC', 'CHIPSET / ASP'})",frozenset({'LINEAR IC'}),0.00799064509842136,0.5016565971545508,0.006626388618203079,0.8292682926829268,1.653059677449921,0.002617828789059329,2.9188685023804877,0.3982433837975269
"frozenset({'MEMORY_SYSTEM', 'LINEAR IC'})",frozenset({'DISCRETE'}),0.005262132137984798,0.4069382186708244,0.004287663223543169,0.8148148148148149,2.002305945792536,0.0021463005449011384,3.2025336191775495,0.5032238529495582
"frozenset({'LOGIC IC', 'MEMORY_SYSTEM'})",frozenset({'DISCRETE'}),0.004482557006431495,0.4069382186708244,0.004287663223543169,0.9565217391304347,2.350533066799933,0.0024635394602555132,13.640420970571014,0.5771517049903894
"frozenset({'OPTICAL AND SENSOR', 'LOGIC IC'})",frozenset({'DISCRETE'}),0.017345546677061,0.4069382186708244,0.01559150263106607,0.8988764044943821,2.2088768349907446,0.008532936764431228,5.864722059810742,0.5569416898056327
"frozenset({'PEMCO', 'LOGIC IC'})",frozenset({'DISCRETE'}),0.01227830832196453,0.4069382186708244,0.010134476710192944,0.8253968253968254,2.0283099191145166,0.005137963793361539,3.3966265657943686,0.5132809179770506
"frozenset({'DISCRETE', 'LOGIC IC', 'CHIPSET / ASP'})",frozenset({'LINEAR IC'}),0.005262132137984798,0.5016565971545508,0.004872344572208147,0.925925925925926,1.8457365679587903,0.002232561270089092,6.727635938413575,0.46063479623824444
"frozenset({'DISCRETE', 'LOGIC IC', 'CPU / MPU'})",frozenset({'LINEAR IC'}),0.014811927499512765,0.5016565971545508,0.012083414539076203,0.8157894736842105,1.6261910604015866,0.004652913392370715,2.705292758303867,0.3908554289907788
"frozenset({'DISCRETE', 'MEMORY_EMBEDED', 'CPU / MPU'})",frozenset({'LINEAR IC'}),0.006431494835314753,0.5016565971545508,0.00565191970376145,0.8787878787878788,1.7517717972263425,0.002425517890060383,4.111333073474956,0.4319273278229461
"frozenset({'MEMORY_EMBEDED', 'CPU / MPU', 'LINEAR IC'})",frozenset({'DISCRETE'}),0.006431494835314753,0.4069382186708244,0.00565191970376145,0.8787878787878788,2.1595117845117846,0.0030346986520878574,4.892759695965699,0.5404080031384857
"frozenset({'DISCRETE', 'MEMORY_EMBEDED', 'CPU / MPU'})",frozenset({'LOGIC IC'}),0.006431494835314753,0.4116156694601442,0.005262132137984798,0.8181818181818181,1.9877324380165289,0.002614828085717256,3.2361138179692053,0.5001307702366941
"frozenset({'MEMORY_EMBEDED', 'LOGIC IC', 'CPU / MPU'})",frozenset({'DISCRETE'}),0.005846813486649776,0.4069382186708244,0.005262132137984798,0.8999999999999999,2.2116379310344825,0.002882840272826986,5.930617813291751,0.5510684179572632
"frozenset({'MEMORY_EMBEDED', 'LOGIC IC', 'CPU / MPU'})",frozenset({'LINEAR IC'}),0.005846813486649776,0.5016565971545508,0.004872344572208147,0.8333333333333334,1.6611629111629111,0.0019392520142980855,2.9900604170726957,0.4003528719858851
