INVOICE_NO,CHIPSET / ASP,CPU / MPU,DISCRETE,LINEAR IC,LOGIC IC,MEMORY_EMBEDED,MEMORY_SYSTEM,OPTICAL AND SENSOR,OTHERS,PEMCO
5153,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
216070003,0.0,0.0,12000.0,0.0,29000.0,0.0,0.0,0.0,0.0,0.0
216070004,0.0,0.0,390000.0,0.0,117000.0,0.0,0.0,0.0,0.0,0.0
216070011,0.0,0.0,3000.0,7500.0,2500.0,0.0,0.0,0.0,0.0,0.0
216070018,0.0,0.0,0.0,24500.0,3000.0,21000.0,0.0,0.0,0.0,0.0
216070020,0.0,0.0,0.0,6000.0,47000.0,0.0,0.0,0.0,0.0,0.0
216070040,0.0,0.0,1325.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070047,0.0,0.0,39000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070053,0.0,0.0,0.0,32500.0,7500.0,0.0,0.0,0.0,0.0,0.0
216070057,0.0,0.0,0.0,270500.0,15000.0,0.0,0.0,0.0,0.0,0.0
216070071,0.0,0.0,0.0,44000.0,64500.0,0.0,0.0,0.0,0.0,0.0
216070073,0.0,0.0,0.0,26000.0,117000.0,0.0,0.0,0.0,0.0,0.0
216070078,0.0,0.0,0.0,1250.0,3000.0,0.0,0.0,0.0,0.0,0.0
216070079,0.0,0.0,5000.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0
216070083,0.0,2000.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
216070092,0.0,0.0,0.0,18000.0,3000.0,0.0,0.0,0.0,0.0,0.0
216070096,0.0,54000.0,0.0,183000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070099,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,2500.0,0.0
216070100,172159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070103,164945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070104,510863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070106,490506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070109,0.0,0.0,0.0,22000.0,33000.0,0.0,0.0,0.0,0.0,0.0
216070110,1666917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070115,0.0,2000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070142,0.0,0.0,0.0,14500.0,3000.0,0.0,0.0,0.0,0.0,0.0
216070145,0.0,0.0,31800.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070182,0.0,0.0,0.0,5000.0,15000.0,0.0,0.0,0.0,0.0,0.0
216070214,0.0,0.0,146000.0,0.0,29500.0,0.0,0.0,0.0,0.0,0.0
216070243,0.0,0.0,138000.0,269095.0,0.0,0.0,0.0,0.0,0.0,0.0
216070244,0.0,0.0,108000.0,2080.0,0.0,0.0,0.0,0.0,0.0,0.0
216070247,0.0,0.0,103000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070259,0.0,0.0,0.0,33000.0,36000.0,0.0,0.0,0.0,0.0,0.0
216070273,0.0,0.0,909000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070278,0.0,0.0,5587000.0,240000.0,0.0,0.0,0.0,0.0,8000.0,0.0
216070287,1900.0,8000.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070288,0.0,0.0,3000.0,0.0,14500.0,0.0,0.0,0.0,0.0,0.0
216070295,0.0,0.0,0.0,124000.0,112500.0,0.0,0.0,0.0,0.0,0.0
216070297,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070304,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070308,0.0,0.0,0.0,3000.0,0.0,2500.0,0.0,0.0,0.0,0.0
216070324,0.0,0.0,281000.0,0.0,0.0,0.0,0.0,0.0,140000.0,40000.0
216070325,0.0,0.0,53000.0,23800.0,26000.0,6000.0,0.0,0.0,8640.0,0.0
216070366,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070370,0.0,0.0,12000.0,0.0,20500.0,0.0,0.0,0.0,0.0,0.0
216070376,0.0,0.0,32000.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0
216070379,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070384,0.0,0.0,81000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070406,12316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070419,0.0,0.0,111000.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0
216070428,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,99000.0,0.0
216070430,0.0,0.0,0.0,3000.0,63000.0,0.0,0.0,0.0,0.0,0.0
216070436,0.0,0.0,12000.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
216070441,0.0,0.0,70000.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0
216070446,0.0,24000.0,0.0,121000.0,2000.0,0.0,0.0,2160.0,0.0,0.0
216070450,0.0,0.0,3000.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0
216070453,0.0,0.0,0.0,177000.0,21000.0,0.0,0.0,0.0,0.0,0.0
216070457,0.0,0.0,3000.0,0.0,32500.0,0.0,0.0,0.0,0.0,0.0
216070459,0.0,0.0,186480.0,0.0,0.0,0.0,0.0,36000.0,0.0,0.0
216070464,0.0,0.0,24000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070465,0.0,0.0,88740.0,0.0,0.0,0.0,0.0,4460.0,0.0,0.0
216070466,0.0,0.0,120000.0,92500.0,0.0,0.0,0.0,0.0,0.0,0.0
216070468,0.0,0.0,257000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070474,0.0,0.0,329300.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070475,0.0,0.0,112600.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0
216070490,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070491,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070496,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070497,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070501,0.0,0.0,307500.0,8500.0,29000.0,0.0,0.0,0.0,0.0,0.0
216070503,0.0,0.0,3000.0,12000.0,12500.0,0.0,0.0,0.0,0.0,0.0
216070504,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070505,0.0,0.0,0.0,70431.0,31000.0,0.0,0.0,0.0,0.0,0.0
216070506,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070509,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070535,0.0,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,30000.0,18000.0
216070544,0.0,0.0,3000.0,13500.0,0.0,0.0,0.0,0.0,0.0,0.0
216070555,0.0,0.0,6900.0,33500.0,17000.0,0.0,0.0,0.0,0.0,0.0
216070557,0.0,0.0,6000.0,15000.0,24000.0,0.0,0.0,0.0,0.0,10000.0
216070569,0.0,0.0,197000.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
216070584,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,9000.0,0.0,15000.0
216070606,0.0,0.0,511475.0,32925.0,3000.0,0.0,0.0,0.0,0.0,0.0
216070607,0.0,0.0,345000.0,65000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070608,0.0,0.0,12000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070609,0.0,0.0,310120.0,67500.0,0.0,0.0,0.0,0.0,0.0,0.0
216070611,0.0,0.0,413000.0,381600.0,87500.0,15000.0,0.0,3000.0,0.0,0.0
216070620,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0
216070621,0.0,0.0,117500.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0
216070638,0.0,80000.0,671000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070639,0.0,0.0,28000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070641,0.0,0.0,311163.0,134500.0,0.0,0.0,0.0,0.0,0.0,0.0
216070642,0.0,0.0,0.0,3000.0,2500.0,0.0,0.0,0.0,0.0,0.0
216070668,0.0,0.0,135000.0,3500.0,90000.0,0.0,0.0,0.0,0.0,0.0
216070696,0.0,0.0,10000.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0
216070702,200.0,416.0,0.0,0.0,0.0,0.0,731.0,0.0,0.0,0.0
216070703,0.0,0.0,0.0,4000.0,2500.0,0.0,0.0,0.0,0.0,0.0
216070714,0.0,0.0,0.0,321000.0,102000.0,0.0,0.0,0.0,0.0,0.0
216070716,0.0,0.0,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0
216070743,0.0,0.0,220000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070748,0.0,0.0,3000.0,0.0,2000.0,0.0,0.0,8500.0,0.0,0.0
216070755,0.0,0.0,266000.0,0.0,0.0,0.0,0.0,4320.0,0.0,0.0
216070756,0.0,0.0,218900.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070758,0.0,0.0,1965675.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0
216070759,0.0,0.0,42500.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070762,0.0,0.0,30000.0,42500.0,0.0,0.0,0.0,0.0,0.0,0.0
216070765,0.0,0.0,3000.0,0.0,0.0,43000.0,0.0,0.0,0.0,0.0
216070770,0.0,0.0,1500.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070772,0.0,0.0,0.0,53000.0,3000.0,0.0,0.0,0.0,0.0,0.0
216070785,0.0,0.0,177000.0,0.0,0.0,0.0,0.0,0.0,0.0,58000.0
216070789,0.0,0.0,0.0,29740.0,107500.0,0.0,0.0,0.0,0.0,0.0
216070815,0.0,0.0,0.0,2500.0,3000.0,0.0,0.0,0.0,0.0,0.0
216070821,0.0,0.0,66000.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0
216070832,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,21600.0,0.0,0.0
216070848,0.0,0.0,0.0,4000.0,10000.0,0.0,0.0,0.0,0.0,0.0
216070850,4000.0,0.0,8000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0
216070853,0.0,0.0,0.0,2500.0,6000.0,0.0,0.0,0.0,18000.0,0.0
216070861,0.0,68034.0,3000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
216070878,0.0,0.0,320000.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0
216070882,0.0,0.0,317000.0,140500.0,80000.0,0.0,0.0,0.0,0.0,0.0
216070883,0.0,0.0,40000.0,0.0,0.0,148000.0,0.0,0.0,0.0,0.0
216070887,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070926,0.0,0.0,9000.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0
216070941,0.0,0.0,0.0,2500.0,6000.0,0.0,0.0,0.0,0.0,0.0
216070943,0.0,0.0,0.0,16000.0,81000.0,0.0,0.0,0.0,0.0,0.0
216070968,92740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070970,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070971,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070972,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070973,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216070988,0.0,0.0,282000.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0
216070989,0.0,0.0,2250.0,10000.0,15000.0,0.0,0.0,0.0,0.0,0.0
216070993,0.0,0.0,40000.0,249000.0,0.0,0.0,0.0,0.0,0.0,0.0
216070999,0.0,0.0,0.0,12000.0,18000.0,0.0,0.0,0.0,0.0,0.0
216071000,0.0,0.0,0.0,12000.0,3000.0,0.0,0.0,0.0,0.0,0.0
216071001,0.0,504.0,0.0,114500.0,77000.0,0.0,0.0,0.0,0.0,0.0
216071005,0.0,0.0,0.0,12000.0,2000.0,0.0,0.0,0.0,0.0,0.0
216071027,40284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071038,0.0,0.0,0.0,2500.0,8500.0,0.0,0.0,0.0,0.0,0.0
216071040,0.0,0.0,0.0,19000.0,3000.0,0.0,0.0,0.0,0.0,0.0
216071050,0.0,0.0,110500.0,5500.0,0.0,17000.0,0.0,0.0,0.0,0.0
216071052,0.0,0.0,0.0,6000.0,12000.0,0.0,0.0,0.0,0.0,0.0
